Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,0.085329,0.096633,0.083678,0.092797,0.092797,3850532893
2021-09-09,0.091050,0.094479,0.090413,0.093024,0.093024,1691771918
2021-09-10,0.093033,0.095774,0.086624,0.090873,0.090873,1973955943
2021-09-11,0.090829,0.097010,0.090579,0.095400,0.095400,2021046580
2021-09-12,0.095557,0.117832,0.094027,0.112668,0.112668,4555490083
2021-09-13,0.112479,0.116707,0.099653,0.104793,0.104793,3258032453
2021-09-14,0.104728,0.120196,0.104248,0.118268,0.118268,3737125575
2021-09-15,0.118290,0.122687,0.113607,0.120918,0.120918,2536911743
2021-09-16,0.120719,0.122041,0.112371,0.116088,0.116088,2135501641
2021-09-17,0.116027,0.120474,0.103663,0.105164,0.105164,2589661092
2021-09-18,0.105221,0.109141,0.103587,0.105934,0.105934,1423069244
2021-09-19,0.105834,0.107314,0.102568,0.103744,0.103744,1197742964
2021-09-20,0.103739,0.103778,0.089976,0.090944,0.090944,2287314375
2021-09-21,0.091427,0.095633,0.087261,0.088238,0.088238,1968682256
2021-09-22,0.088147,0.098837,0.086728,0.098772,0.098772,1543235375
2021-09-23,0.098784,0.100580,0.096281,0.099206,0.099206,1221757467
2021-09-24,0.099255,0.099441,0.086381,0.092330,0.092330,1725865390
2021-09-25,0.092354,0.093741,0.089539,0.090682,0.090682,1339568978
2021-09-26,0.090725,0.090872,0.083583,0.087716,0.087716,1583621546
2021-09-27,0.087828,0.090596,0.086020,0.086081,0.086081,1359027319
2021-09-28,0.086051,0.087249,0.083065,0.083145,0.083145,1284143801
2021-09-29,0.083145,0.087937,0.082670,0.085946,0.085946,1177606321
2021-09-30,0.085861,0.089622,0.085559,0.089426,0.089426,1021905677
2021-10-01,0.089469,0.094732,0.088645,0.094732,0.094732,1244241400
2021-10-02,0.094804,0.095903,0.092475,0.093627,0.093627,1035214700
2021-10-03,0.093543,0.096618,0.092752,0.094981,0.094981,1058942942
2021-10-04,0.095013,0.095161,0.090263,0.093507,0.093507,1221597030
2021-10-05,0.093489,0.098468,0.092994,0.096183,0.096183,1803369231
2021-10-06,0.096220,0.096971,0.091276,0.095521,0.095521,1713306308
2021-10-07,0.095501,0.098287,0.093470,0.095514,0.095514,1627469794
2021-10-08,0.095470,0.099367,0.095326,0.097670,0.097670,1430548633
2021-10-09,0.097682,0.105416,0.097245,0.102870,0.102870,1790421869
2021-10-10,0.103014,0.103024,0.097371,0.097748,0.097748,1221386238
2021-10-11,0.097653,0.100930,0.095327,0.097162,0.097162,1100623957
2021-10-12,0.097221,0.097221,0.091610,0.095509,0.095509,1280870343
2021-10-13,0.095489,0.098015,0.093517,0.097993,0.097993,1241862431
2021-10-14,0.097904,0.099499,0.096527,0.097159,0.097159,1165003317
2021-10-15,0.097294,0.102746,0.095326,0.098504,0.098504,1591245618
2021-10-16,0.098578,0.100944,0.098236,0.098690,0.098690,1082612429
2021-10-17,0.098633,0.102059,0.096547,0.098690,0.098690,1170758481
2021-10-18,0.098744,0.099352,0.097065,0.098140,0.098140,1157169880
2021-10-19,0.098140,0.100929,0.097861,0.100609,0.100609,1326434459
2021-10-20,0.100590,0.106019,0.100161,0.103064,0.103064,1749882996
2021-10-21,0.103211,0.105865,0.099522,0.099522,0.099522,1598864313
2021-10-22,0.099625,0.102015,0.098688,0.099826,0.099826,1398644864
2021-10-23,0.099817,0.101235,0.098900,0.100740,0.100740,1247898652
2021-10-24,0.100755,0.101508,0.097352,0.099234,0.099234,1212237562
2021-10-25,0.099163,0.101465,0.098764,0.100708,0.100708,1715400596
2021-10-26,0.100682,0.105593,0.100378,0.101189,0.101189,2887926661
2021-10-27,0.101152,0.102679,0.089113,0.090706,0.090706,2319437826
2021-10-28,0.090666,0.096235,0.090666,0.095369,0.095369,2730738901
2021-10-29,0.095374,0.099447,0.094753,0.099439,0.099439,2503779170
2021-10-30,0.099450,0.104538,0.097899,0.101127,0.101127,2853009501
2021-10-31,0.101193,0.102365,0.097709,0.101527,0.101527,2663826401
2021-11-01,0.101542,0.102007,0.098177,0.100548,0.100548,1724266847
2021-11-02,0.100565,0.110433,0.099892,0.107395,0.107395,2695125439
2021-11-03,0.107416,0.109262,0.102384,0.105863,0.105863,2736243802
2021-11-04,null,null,null,null,null,null
